Input,Output
"""+ -7 3 6 1 5 -8 4 -3""",1
"""/ 0 5 8 6 -2""",-0.0
"""* -4 -1 1""",4
"""+ 4 -6""",-2
"""- 0 3 4 8 -1""",-14
"""- 6""",6
"""/ 6 -8 3 6 8 2""",-0.0
"""- -2 -8 -9""",15
"""* 9 7""",63
"""+ -1 9 3 3 5 5""",24
"""+ 2 5 4 -7 2 9 -9 7 9""",22
"""+ -3 -7 -4 -8 7 -2 -5 -7 1""",-28
"""+ 8 -4 8 6 3 -9 -2""",10
"""/ 2""",2
"""/ -1""",-1
"""- 4 -8 7 -2 3 1 5 -4 8""",-6
"""/ -4 9 -7 -6 -8 2""",0.0
"""+ -9 -9 -9 9""",-18
"""/ -9 -2 3 -2""",-0.75
"""/ 3 -3""",-1.0
"""- 0 -7 0""",7
"""- -9 0 3 -3 -8 7""",-8
"""+ 1 2 -5 9 -3 7""",11
"""* 2 -8 7 -6 -5 -9""",30240
"""- -1""",-1
"""* 6 -7 -8 8 -2 1""",-5376
"""+ -8 -6 0""",-14
"""+ 6""",6
"""- -9 -6 8 7 8 8 -8""",-26
"""* -8 -4 0 -1 -2 3""",0
"""+ -3 2 -3 -2 -2 -4 5""",-7
"""- 5 -6 -5 1 -1 -1""",17
"""/ -8 2 -6 2 7 -3""",-0.02
"""+ -6 -5 0 4 1 0""",-6
"""* -4 -7 -8 -3 -3""",-2016
"""/ 7 7 -3""",-0.33
"""/ -8 -9 0 -5 4 -9""",null
"""+ 2 8 -9""",1
"""* 5 2 5 9 8 -1 -8 8""",230400
"""* 9 0 -4 8 5 8 6 -3 3""",0
"""/ 3 3 -3 -7 6 -4 4""",-0.0
"""* -8""",-8
"""+ 2 8 1 -2 3""",12
"""- -5 3 -4 9 0 -2 9 -2 3""",-21
"""+ 3 5 9 3 5 3 -3 9 8""",42
"""/ 7 8 -5 5 4 3 -4""",0.0
"""/ -6 7 8 -3""",0.04
"""- 1 -2 -6 -1 -4""",14
"""/ 8 -5""",-1.6
"""- -3 8 2 -6 -8 0 1 -3 -5""",8
"""/ -7 -9 -7 7 7 -9 1""",0.0
"""+ -8 4 -9 -4 1 -2 -4 3 -9""",-28
"""- 5 -2 3 -9 -8 1 4 -2 8""",10
"""/ -2 1 6 -7""",0.05
"""/ -1 -2 -9 3 9""",-0.0
"""+ 4 1 -4 8 6""",15
"""* 2""",2
"""* 2 4 1""",8
"""- 7 0 3 6 1 9""",-12
"""- 0""",0
"""/ -7 0 2 4 -1 6 5""",null
"""- -9 -3""",-6
"""+ -3 4 4 4 2""",11
"""- -2 -7""",5
"""* -9""",-9
"""/ -5 -6 -7 0 -3 0 4""",null
"""* 7 8 4 5 -7 4 8 -6""",1505280
"""* -3 9 0""",0
"""+ -3 -9 -3 -2 -7 -4""",-28
"""* 1 6 -2""",-12
"""* -1 2""",-2
"""- 8 -3 3 8 -2 -7 -7""",16
"""* -8 3 -8 2 9 6""",20736
"""- -4 -7 1""",2
"""+ -8 -2 4 7 -7 5""",-1
"""/ 7 -7 -9 -5 -8 8""",0.0
"""* 4 1 -2 9 -6""",432
"""/ 4 -1 9 -4""",0.11
"""- -9""",-9
"""- 9 -3 9 6 2 9""",-14
"""/ -7 -9 -4 2 -2 5 -3""",-0.0
"""+ 6""",6
"""/ 5 -1""",-5.0
"""/ 0 -1 -7 9 2 -7 -9 -6""",-0.0
"""/ 6 8 -5 8 5 -9 -2 -9 -9""",-0.0
"""+ 0 -2 -8 -8 -1 -2""",-21
"""+ 5 9 8 4 -5""",21
"""* 0 5 6 -3""",0
"""/ -3 8 7 -8 2 -9 -7 -8 -7""",0.0
"""- 4""",4
"""/ -7 7 8 -6""",0.02
"""+ 2""",2
"""+ 1 1 5 1 3 1 -3 0""",9
"""- 3 4""",-1
"""/ -5 3 2 -7 -6""",-0.02
"""+ -5 8 8 3 5 2 1 6""",28
"""+ -4 8 8""",12
"""+ -8 -7 1 -8 5 4 -5 -2 -6""",-26
"""* -7""",-7
"""/ -3 6 -3""",0.17
"""/ -9 -4 -1 4 -8 8 4 8 -2""",-0.0
"""/ -1 3""",-0.33
"""- 4 7 -5 6 3 -2 3 -9""",1
"""/ -5 4 0 -9 -7 -3 9""",null
"""/ 2 4 2 5 -7 8 5 3 1""",-0.0
"""/ 1 0 -6 8 0 6 -5 -5 3""",null
"""+ -6 4 6 -8 9""",5
"""/ -4 9""",-0.44
"""+ -1 -4 -3 -3 -7""",-18
"""* 0 8 -3 8""",0
"""/ 4 8""",0.5
"""+ -3 -6""",-9
"""* 7 1 6""",42
"""/ -6 -4 7 -1 3 -2 -5 8""",-0.0
"""* 0""",0
"""/ -8 5""",-1.6
"""+ -3 2 -5 7 -9 -4 8 4 -5""",-5
"""+ -3 2 1 7 3 8 -7""",11
"""* -5 -2 6 -1""",-60
"""+ 2 -6 0 -1""",-5
"""+ 1 -7 1 -6 5 -1 7 3""",3
"""* -9 2 -5 9 -6 8 -7 3""",816480
"""+ 3 -4 9 4 -7 6 2""",13
"""+ 2 -7 8 0 7""",10
"""/ -8""",-8
"""+ 7 2 -6 -9 3 6 0 4 5""",12
"""+ 3""",3
"""+ -8 9 2 4""",7
"""- 9 6 3 2 9 2 -7 5 1""",-12
"""/ 1 9 6 2 0""",null
"""+ 0 3 0 4 -3 7 -6""",5
"""- 3 -8 -8 -8 5 -4""",26
"""* 7 2 5 -2 -2 5 6 1""",8400
"""/ 0 0 2 -8 4""",null
"""* 1 -1""",-1
"""/ 1 -2 -2 9 6 6 8 -4""",-0.0
"""+ -3 -8 -1 -7 9 0 -5 -4""",-19
"""- -4 6 6 2 -8 -5 -1""",-4
"""/ 4 -9""",-0.44
"""- -7 -1 7 8""",-21
"""* -7 -4 1 2 -8 -4 -9 4""",-64512
"""/ 2 0 2 9 4 -6 4 -6""",null
"""- 1 8 1 6 -5 -8 -9 -9""",17
"""/ 5 -6 -7""",0.12
"""* 4 1 5 7 -6 -8 -7 -9""",423360
"""- -7 -4 -6""",3
"""/ 5 -6 -4 -9 9 -3 -6 5 6""",-0.0
"""- -6 -3""",-3
"""/ 0 7 -7 4 5 -7 6 -3""",-0.0
"""/ 2 5 6 -2""",-0.03
"""* -2 7 8 0 1 5""",0
"""/ 3 -8 7""",-0.05
"""/ 2""",2
"""+ -1 -7 1 3 0 2 4 5""",7
"""- -3 2 9 -2 6 5 5""",-28
"""- -1 2 8 8 4 -9 7 8 6""",-35
"""+ -8 2""",-6
"""/ -2 -1 -6""",-0.33
"""+ -8 3 -4 -3 -5 6 5 -7""",-13
"""- -1 -5 1 -4""",7
"""+ 5""",5
